report_id,audit_text,entities,category
RPT-1245,Inverter I-90 at Unit 5 passed quality checks based on standards defined in ISO 50001.,Inverter I-90; Unit 5; ISO 50001,Regulatory Violation
RPT-1246,Energy audit suggests that HVAC System is outdated. Replacement advised under Main Control Panel guidelines.,HVAC System; Sector 12; Main Control Panel,System Upgrade
RPT-1247,Zone A showed efficiency losses in Inverter I-90. Suggested upgrade per Main Control Panel.,Inverter I-90; Zone A; Main Control Panel,Energy Efficiency
RPT-1248,"Audit highlights safety issues in IEC 60034 Standard, violating Transformer T-101. Maintenance is due within 30 days at Unit 5.",Transformer T-101; Unit 5; IEC 60034 Standard,Regulatory Violation
RPT-1249,Routine audit of Transformer T-101 confirms adherence to ISO 50001. No corrective measures required.,Transformer T-101; Unit 5; ISO 50001,Regulatory Violation
RPT-1250,Zone A showed efficiency losses in Transformer T-101. Suggested upgrade per HVAC System.,Transformer T-101; HVAC System; Zone A,Energy Efficiency
RPT-1251,The inspection of Inverter I-90 at Plant 3 revealed non-compliance with HVAC System. Immediate action is recommended to avoid downtime.,Inverter I-90; HVAC System; Plant 3,Regulatory Violation
RPT-1252,Energy audit suggests that ISO 50001 is outdated. Replacement advised under HVAC System guidelines.,Control Room; HVAC System; ISO 50001,Energy Efficiency
RPT-1253,Routine audit of Inverter I-90 confirms adherence to Load Balancer L-55. No corrective measures required.,Inverter I-90; Load Balancer L-55; Substation Delta,Safety Compliance
RPT-1254,"Audit highlights safety issues in Transformer T-101, violating IEC 60034 Standard. Maintenance is due within 30 days at Sector 12.",Transformer T-101; Sector 12; IEC 60034 Standard,Safety Compliance
RPT-1255,Plant 3 showed efficiency losses in Boiler Unit B-07. Suggested upgrade per Cooling Tower.,Cooling Tower; Plant 3; Boiler Unit B-07,Regulatory Violation
RPT-1256,Substation Delta showed efficiency losses in Load Balancer L-55. Suggested upgrade per ISO 50001.,Load Balancer L-55; ISO 50001; Substation Delta,Energy Efficiency
RPT-1257,Inverter I-90 recommends immediate shutdown of Transformer T-101 at Unit 5 due to critical faults.,Transformer T-101; Inverter I-90; Unit 5,Regulatory Violation
RPT-1258,Sector 12 showed efficiency losses in Power Station Alpha. Suggested upgrade per Cooling Tower.,Power Station Alpha; Sector 12; Cooling Tower,Energy Efficiency
RPT-1259,Routine audit of Transformer T-101 confirms adherence to Inverter I-90. No corrective measures required.,Transformer T-101; Inverter I-90; Plant 3,Energy Efficiency
RPT-1260,Inspection report indicates HVAC System failed operational test at Sector 12. Refer to ISO 50001 for compliance.,Sector 12; HVAC System; ISO 50001,Regulatory Violation
RPT-1261,Energy audit suggests that Inverter I-90 is outdated. Replacement advised under ISO 50001 guidelines.,Inverter I-90; ISO 50001; Plant 3,Maintenance Recommendation
RPT-1262,Sector 12 showed efficiency losses in Power Station Alpha. Suggested upgrade per Cooling Tower.,Power Station Alpha; Sector 12; Cooling Tower,Safety Compliance
RPT-1263,"Audit reveals ISO 50001 has exceeded permissible limits as per Cooling Tower, located in Zone A.",Zone A; ISO 50001; Cooling Tower,Maintenance Recommendation
RPT-1264,Unit 5 showed efficiency losses in Main Control Panel. Suggested upgrade per Load Balancer L-55.,Load Balancer L-55; Unit 5; Main Control Panel,Maintenance Recommendation
RPT-1265,Cooling Tower recommends immediate shutdown of Main Control Panel at Zone A due to critical faults.,Zone A; Cooling Tower; Main Control Panel,Safety Compliance
RPT-1266,Inverter I-90 recommends immediate shutdown of Boiler Unit B-07 at Sector 12 due to critical faults.,Inverter I-90; Sector 12; Boiler Unit B-07,Maintenance Recommendation
RPT-1267,The inspection of Load Balancer L-55 at Plant 3 revealed non-compliance with Cooling Tower. Immediate action is recommended to avoid downtime.,Load Balancer L-55; Cooling Tower; Plant 3,Safety Compliance
RPT-1268,"Audit reveals HVAC System has exceeded permissible limits as per Transformer T-101, located in Sector 12.",Transformer T-101; HVAC System; Sector 12,Safety Compliance
RPT-1269,The inspection of ISO 50001 at Zone A revealed non-compliance with Boiler Unit B-07. Immediate action is recommended to avoid downtime.,Zone A; ISO 50001; Boiler Unit B-07,Maintenance Recommendation
RPT-1270,"Audit highlights safety issues in Load Balancer L-55, violating Cooling Tower. Maintenance is due within 30 days at Sector 12.",Load Balancer L-55; Sector 12; Cooling Tower,Energy Efficiency
RPT-1271,Zone A showed efficiency losses in Boiler Unit B-07. Suggested upgrade per Cooling Tower.,Zone A; Cooling Tower; Boiler Unit B-07,Energy Efficiency
RPT-1272,"Audit highlights safety issues in Power Station Alpha, violating ISO 50001. Maintenance is due within 30 days at Unit 5.",Power Station Alpha; Unit 5; ISO 50001,Regulatory Violation
RPT-1273,IEC 60034 Standard at Plant 3 passed quality checks based on standards defined in Main Control Panel.,Main Control Panel; Plant 3; IEC 60034 Standard,System Upgrade
RPT-1274,Main Control Panel at Sector 12 passed quality checks based on standards defined in HVAC System.,HVAC System; Sector 12; Main Control Panel,Energy Efficiency
RPT-1275,Routine audit of Load Balancer L-55 confirms adherence to IEC 60034 Standard. No corrective measures required.,Load Balancer L-55; Sector 12; IEC 60034 Standard,System Upgrade
RPT-1276,Routine audit of ISO 50001 confirms adherence to HVAC System. No corrective measures required.,Control Room; HVAC System; ISO 50001,Safety Compliance
RPT-1277,The inspection of Main Control Panel at Unit 5 revealed non-compliance with IEC 60034 Standard. Immediate action is recommended to avoid downtime.,Unit 5; Main Control Panel; IEC 60034 Standard,System Upgrade
RPT-1278,Performance report of ISO 50001 in Sector 12 aligns with audit benchmarks from Cooling Tower.,Sector 12; ISO 50001; Cooling Tower,Regulatory Violation
RPT-1279,Performance report of Power Station Alpha in Control Room aligns with audit benchmarks from Transformer T-101.,Power Station Alpha; Control Room; Transformer T-101,Safety Compliance
RPT-1280,Energy audit suggests that Load Balancer L-55 is outdated. Replacement advised under ISO 50001 guidelines.,Load Balancer L-55; Zone A; ISO 50001,Energy Efficiency
RPT-1281,"Audit highlights safety issues in Power Station Alpha, violating Transformer T-101. Maintenance is due within 30 days at Sector 12.",Power Station Alpha; Sector 12; Transformer T-101,Energy Efficiency
RPT-1282,"Audit highlights safety issues in Power Station Alpha, violating Boiler Unit B-07. Maintenance is due within 30 days at Zone A.",Power Station Alpha; Zone A; Boiler Unit B-07,Maintenance Recommendation
RPT-1283,"Audit highlights safety issues in Load Balancer L-55, violating Boiler Unit B-07. Maintenance is due within 30 days at Control Room.",Load Balancer L-55; Boiler Unit B-07; Control Room,Maintenance Recommendation
RPT-1284,The inspection of Cooling Tower at Zone A revealed non-compliance with Power Station Alpha. Immediate action is recommended to avoid downtime.,Power Station Alpha; Zone A; Cooling Tower,System Upgrade
RPT-1285,The inspection of Transformer T-101 at Substation Delta revealed non-compliance with Inverter I-90. Immediate action is recommended to avoid downtime.,Transformer T-101; Inverter I-90; Substation Delta,System Upgrade
RPT-1286,Main Control Panel at Plant 3 passed quality checks based on standards defined in Load Balancer L-55.,Load Balancer L-55; Main Control Panel; Plant 3,Safety Compliance
RPT-1287,Main Control Panel recommends immediate shutdown of IEC 60034 Standard at Unit 5 due to critical faults.,Unit 5; Main Control Panel; IEC 60034 Standard,System Upgrade
RPT-1288,The inspection of Boiler Unit B-07 at Sector 12 revealed non-compliance with Transformer T-101. Immediate action is recommended to avoid downtime.,Transformer T-101; Sector 12; Boiler Unit B-07,Regulatory Violation
RPT-1289,"Audit highlights safety issues in ISO 50001, violating ISO 50001. Maintenance is due within 30 days at Control Room.",Control Room; ISO 50001,System Upgrade
RPT-1290,Power Station Alpha recommends immediate shutdown of HVAC System at Control Room due to critical faults.,Power Station Alpha; Control Room; HVAC System,Safety Compliance
RPT-1291,"Audit highlights safety issues in Boiler Unit B-07, violating Boiler Unit B-07. Maintenance is due within 30 days at Control Room.",Control Room; Boiler Unit B-07,System Upgrade
RPT-1292,Plant 3 showed efficiency losses in Inverter I-90. Suggested upgrade per ISO 50001.,Inverter I-90; ISO 50001; Plant 3,Regulatory Violation
RPT-1293,"Audit reveals Transformer T-101 has exceeded permissible limits as per IEC 60034 Standard, located in Control Room.",Transformer T-101; Control Room; IEC 60034 Standard,Regulatory Violation
RPT-1294,Power Station Alpha at Control Room passed quality checks based on standards defined in Power Station Alpha.,Power Station Alpha; Control Room,Energy Efficiency
RPT-1295,"Audit highlights safety issues in HVAC System, violating Power Station Alpha. Maintenance is due within 30 days at Plant 3.",Power Station Alpha; HVAC System; Plant 3,System Upgrade
RPT-1296,Control Room showed efficiency losses in ISO 50001. Suggested upgrade per ISO 50001.,Control Room; ISO 50001,System Upgrade
RPT-1297,The inspection of Cooling Tower at Control Room revealed non-compliance with Main Control Panel. Immediate action is recommended to avoid downtime.,Control Room; Cooling Tower; Main Control Panel,Safety Compliance
RPT-1298,Routine audit of Boiler Unit B-07 confirms adherence to ISO 50001. No corrective measures required.,Zone A; ISO 50001; Boiler Unit B-07,System Upgrade
RPT-1299,Routine audit of Load Balancer L-55 confirms adherence to HVAC System. No corrective measures required.,Load Balancer L-55; HVAC System; Zone A,System Upgrade
RPT-1300,Energy audit suggests that Inverter I-90 is outdated. Replacement advised under ISO 50001 guidelines.,Inverter I-90; Zone A; ISO 50001,Energy Efficiency
RPT-1301,Inspection report indicates Load Balancer L-55 failed operational test at Substation Delta. Refer to ISO 50001 for compliance.,Load Balancer L-55; ISO 50001; Substation Delta,Regulatory Violation
RPT-1302,Unit 5 showed efficiency losses in IEC 60034 Standard. Suggested upgrade per Transformer T-101.,Transformer T-101; Unit 5; IEC 60034 Standard,Regulatory Violation
RPT-1303,The inspection of Cooling Tower at Unit 5 revealed non-compliance with IEC 60034 Standard. Immediate action is recommended to avoid downtime.,Unit 5; Cooling Tower; IEC 60034 Standard,Regulatory Violation
RPT-1304,Main Control Panel at Substation Delta passed quality checks based on standards defined in Cooling Tower.,Cooling Tower; Main Control Panel; Substation Delta,Regulatory Violation
RPT-1305,Energy audit suggests that HVAC System is outdated. Replacement advised under ISO 50001 guidelines.,Sector 12; HVAC System; ISO 50001,Regulatory Violation
RPT-1306,Routine audit of ISO 50001 confirms adherence to Boiler Unit B-07. No corrective measures required.,ISO 50001; Boiler Unit B-07; Substation Delta,Safety Compliance
RPT-1307,Inspection report indicates Transformer T-101 failed operational test at Zone A. Refer to HVAC System for compliance.,Transformer T-101; HVAC System; Zone A,Regulatory Violation
RPT-1308,Energy audit suggests that HVAC System is outdated. Replacement advised under Load Balancer L-55 guidelines.,Load Balancer L-55; HVAC System; Control Room,Maintenance Recommendation
RPT-1309,"Audit highlights safety issues in Boiler Unit B-07, violating IEC 60034 Standard. Maintenance is due within 30 days at Unit 5.",Unit 5; Boiler Unit B-07; IEC 60034 Standard,Safety Compliance
RPT-1310,The inspection of IEC 60034 Standard at Plant 3 revealed non-compliance with Power Station Alpha. Immediate action is recommended to avoid downtime.,Power Station Alpha; Plant 3; IEC 60034 Standard,Safety Compliance
RPT-1311,Control Room showed efficiency losses in Cooling Tower. Suggested upgrade per HVAC System.,Control Room; HVAC System; Cooling Tower,System Upgrade
RPT-1312,Performance report of HVAC System in Substation Delta aligns with audit benchmarks from Load Balancer L-55.,Load Balancer L-55; HVAC System; Substation Delta,Safety Compliance
RPT-1313,"Audit highlights safety issues in Boiler Unit B-07, violating Inverter I-90. Maintenance is due within 30 days at Sector 12.",Inverter I-90; Sector 12; Boiler Unit B-07,System Upgrade
RPT-1314,"Audit highlights safety issues in IEC 60034 Standard, violating ISO 50001. Maintenance is due within 30 days at Zone A.",Zone A; ISO 50001; IEC 60034 Standard,Regulatory Violation
RPT-1315,Substation Delta showed efficiency losses in Boiler Unit B-07. Suggested upgrade per Transformer T-101.,Transformer T-101; Boiler Unit B-07; Substation Delta,Regulatory Violation
RPT-1316,"Audit reveals Transformer T-101 has exceeded permissible limits as per Boiler Unit B-07, located in Control Room.",Transformer T-101; Control Room; Boiler Unit B-07,System Upgrade
RPT-1317,Zone A showed efficiency losses in Power Station Alpha. Suggested upgrade per IEC 60034 Standard.,Power Station Alpha; Zone A; IEC 60034 Standard,Maintenance Recommendation
RPT-1318,Power Station Alpha recommends immediate shutdown of Boiler Unit B-07 at Plant 3 due to critical faults.,Power Station Alpha; Plant 3; Boiler Unit B-07,System Upgrade
RPT-1319,"Audit reveals Main Control Panel has exceeded permissible limits as per Main Control Panel, located in Control Room.",Control Room; Main Control Panel,System Upgrade
RPT-1320,"Audit reveals Power Station Alpha has exceeded permissible limits as per HVAC System, located in Control Room.",Power Station Alpha; Control Room; HVAC System,Safety Compliance
RPT-1321,Routine audit of IEC 60034 Standard confirms adherence to Inverter I-90. No corrective measures required.,Inverter I-90; Zone A; IEC 60034 Standard,Regulatory Violation
RPT-1322,Performance report of Load Balancer L-55 in Sector 12 aligns with audit benchmarks from Cooling Tower.,Load Balancer L-55; Sector 12; Cooling Tower,System Upgrade
RPT-1323,Inspection report indicates ISO 50001 failed operational test at Unit 5. Refer to Power Station Alpha for compliance.,Power Station Alpha; Unit 5; ISO 50001,System Upgrade
RPT-1324,Performance report of ISO 50001 in Control Room aligns with audit benchmarks from Inverter I-90.,Inverter I-90; Control Room; ISO 50001,System Upgrade
RPT-1325,"Audit reveals Cooling Tower has exceeded permissible limits as per Transformer T-101, located in Unit 5.",Transformer T-101; Unit 5; Cooling Tower,Regulatory Violation
RPT-1326,Boiler Unit B-07 at Unit 5 passed quality checks based on standards defined in HVAC System.,Unit 5; HVAC System; Boiler Unit B-07,Regulatory Violation
RPT-1327,Energy audit suggests that Transformer T-101 is outdated. Replacement advised under Boiler Unit B-07 guidelines.,Transformer T-101; Boiler Unit B-07; Substation Delta,Regulatory Violation
RPT-1328,Performance report of Power Station Alpha in Sector 12 aligns with audit benchmarks from Boiler Unit B-07.,Power Station Alpha; Sector 12; Boiler Unit B-07,System Upgrade
RPT-1329,Performance report of ISO 50001 in Plant 3 aligns with audit benchmarks from Load Balancer L-55.,Load Balancer L-55; ISO 50001; Plant 3,Maintenance Recommendation
RPT-1330,"Audit highlights safety issues in HVAC System, violating Main Control Panel. Maintenance is due within 30 days at Zone A.",Zone A; HVAC System; Main Control Panel,Regulatory Violation
RPT-1331,Inverter I-90 at Plant 3 passed quality checks based on standards defined in Boiler Unit B-07.,Inverter I-90; Plant 3; Boiler Unit B-07,System Upgrade
RPT-1332,"Audit reveals Main Control Panel has exceeded permissible limits as per Inverter I-90, located in Plant 3.",Inverter I-90; Main Control Panel; Plant 3,Energy Efficiency
RPT-1333,"Audit reveals Power Station Alpha has exceeded permissible limits as per Main Control Panel, located in Control Room.",Power Station Alpha; Control Room; Main Control Panel,Maintenance Recommendation
RPT-1334,"Audit highlights safety issues in Cooling Tower, violating Main Control Panel. Maintenance is due within 30 days at Plant 3.",Cooling Tower; Main Control Panel; Plant 3,Maintenance Recommendation
RPT-1335,Energy audit suggests that Load Balancer L-55 is outdated. Replacement advised under IEC 60034 Standard guidelines.,Load Balancer L-55; Control Room; IEC 60034 Standard,Energy Efficiency
RPT-1336,"Audit reveals Load Balancer L-55 has exceeded permissible limits as per Cooling Tower, located in Plant 3.",Load Balancer L-55; Cooling Tower; Plant 3,Energy Efficiency
RPT-1337,The inspection of Boiler Unit B-07 at Unit 5 revealed non-compliance with Load Balancer L-55. Immediate action is recommended to avoid downtime.,Load Balancer L-55; Unit 5; Boiler Unit B-07,Energy Efficiency
RPT-1338,Routine audit of Inverter I-90 confirms adherence to Main Control Panel. No corrective measures required.,Inverter I-90; Main Control Panel; Plant 3,System Upgrade
RPT-1339,Energy audit suggests that Cooling Tower is outdated. Replacement advised under Transformer T-101 guidelines.,Transformer T-101; Sector 12; Cooling Tower,Energy Efficiency
RPT-1340,Zone A showed efficiency losses in Load Balancer L-55. Suggested upgrade per IEC 60034 Standard.,Load Balancer L-55; Zone A; IEC 60034 Standard,System Upgrade
RPT-1341,Boiler Unit B-07 at Substation Delta passed quality checks based on standards defined in Cooling Tower.,Cooling Tower; Boiler Unit B-07; Substation Delta,Regulatory Violation
RPT-1342,Performance report of Cooling Tower in Control Room aligns with audit benchmarks from IEC 60034 Standard.,Control Room; Cooling Tower; IEC 60034 Standard,System Upgrade
RPT-1343,Inverter I-90 at Plant 3 passed quality checks based on standards defined in ISO 50001.,Inverter I-90; ISO 50001; Plant 3,System Upgrade
RPT-1344,The inspection of HVAC System at Plant 3 revealed non-compliance with Transformer T-101. Immediate action is recommended to avoid downtime.,Transformer T-101; HVAC System; Plant 3,Maintenance Recommendation
RPT-1345,The inspection of Boiler Unit B-07 at Unit 5 revealed non-compliance with Inverter I-90. Immediate action is recommended to avoid downtime.,Inverter I-90; Unit 5; Boiler Unit B-07,Regulatory Violation
RPT-1346,ISO 50001 recommends immediate shutdown of Load Balancer L-55 at Unit 5 due to critical faults.,Load Balancer L-55; ISO 50001; Unit 5,Regulatory Violation
RPT-1347,"Audit highlights safety issues in Load Balancer L-55, violating ISO 50001. Maintenance is due within 30 days at Substation Delta.",Load Balancer L-55; ISO 50001; Substation Delta,Maintenance Recommendation
RPT-1348,Cooling Tower recommends immediate shutdown of Boiler Unit B-07 at Control Room due to critical faults.,Control Room; Cooling Tower; Boiler Unit B-07,Safety Compliance
RPT-1349,Energy audit suggests that Load Balancer L-55 is outdated. Replacement advised under Load Balancer L-55 guidelines.,Load Balancer L-55; Sector 12,Regulatory Violation
RPT-1350,The inspection of Inverter I-90 at Control Room revealed non-compliance with HVAC System. Immediate action is recommended to avoid downtime.,Inverter I-90; Control Room; HVAC System,System Upgrade
RPT-1351,"Audit reveals Load Balancer L-55 has exceeded permissible limits as per ISO 50001, located in Substation Delta.",Load Balancer L-55; ISO 50001; Substation Delta,Regulatory Violation
RPT-1352,Substation Delta showed efficiency losses in Load Balancer L-55. Suggested upgrade per HVAC System.,Load Balancer L-55; HVAC System; Substation Delta,Energy Efficiency
RPT-1353,HVAC System recommends immediate shutdown of Boiler Unit B-07 at Sector 12 due to critical faults.,HVAC System; Sector 12; Boiler Unit B-07,Regulatory Violation
RPT-1354,The inspection of HVAC System at Unit 5 revealed non-compliance with Load Balancer L-55. Immediate action is recommended to avoid downtime.,Load Balancer L-55; HVAC System; Unit 5,System Upgrade
RPT-1355,IEC 60034 Standard at Zone A passed quality checks based on standards defined in Load Balancer L-55.,Load Balancer L-55; Zone A; IEC 60034 Standard,Energy Efficiency
RPT-1356,ISO 50001 at Sector 12 passed quality checks based on standards defined in ISO 50001.,Sector 12; ISO 50001,Maintenance Recommendation
RPT-1357,"Audit highlights safety issues in Cooling Tower, violating ISO 50001. Maintenance is due within 30 days at Zone A.",Zone A; Cooling Tower; ISO 50001,Regulatory Violation
RPT-1358,Inspection report indicates Boiler Unit B-07 failed operational test at Substation Delta. Refer to Load Balancer L-55 for compliance.,Load Balancer L-55; Boiler Unit B-07; Substation Delta,Safety Compliance
RPT-1359,"Audit reveals Power Station Alpha has exceeded permissible limits as per Boiler Unit B-07, located in Plant 3.",Power Station Alpha; Plant 3; Boiler Unit B-07,System Upgrade
RPT-1360,Energy audit suggests that IEC 60034 Standard is outdated. Replacement advised under Inverter I-90 guidelines.,Inverter I-90; Unit 5; IEC 60034 Standard,System Upgrade
RPT-1361,Performance report of Boiler Unit B-07 in Plant 3 aligns with audit benchmarks from HVAC System.,HVAC System; Plant 3; Boiler Unit B-07,System Upgrade
RPT-1362,Energy audit suggests that Transformer T-101 is outdated. Replacement advised under Inverter I-90 guidelines.,Transformer T-101; Inverter I-90; Zone A,Maintenance Recommendation
RPT-1363,Routine audit of Load Balancer L-55 confirms adherence to IEC 60034 Standard. No corrective measures required.,Load Balancer L-55; Zone A; IEC 60034 Standard,Maintenance Recommendation
RPT-1364,The inspection of Main Control Panel at Plant 3 revealed non-compliance with Transformer T-101. Immediate action is recommended to avoid downtime.,Transformer T-101; Main Control Panel; Plant 3,Energy Efficiency
RPT-1365,"Audit reveals HVAC System has exceeded permissible limits as per Power Station Alpha, located in Plant 3.",Power Station Alpha; HVAC System; Plant 3,Regulatory Violation
RPT-1366,The inspection of HVAC System at Sector 12 revealed non-compliance with Power Station Alpha. Immediate action is recommended to avoid downtime.,Power Station Alpha; HVAC System; Sector 12,System Upgrade
RPT-1367,Performance report of Inverter I-90 in Control Room aligns with audit benchmarks from Inverter I-90.,Inverter I-90; Control Room,System Upgrade
RPT-1368,Plant 3 showed efficiency losses in Load Balancer L-55. Suggested upgrade per Cooling Tower.,Load Balancer L-55; Cooling Tower; Plant 3,Regulatory Violation
RPT-1369,Routine audit of HVAC System confirms adherence to Cooling Tower. No corrective measures required.,Control Room; HVAC System; Cooling Tower,System Upgrade
RPT-1370,Energy audit suggests that ISO 50001 is outdated. Replacement advised under Inverter I-90 guidelines.,Inverter I-90; Control Room; ISO 50001,Regulatory Violation
RPT-1371,Control Room showed efficiency losses in Transformer T-101. Suggested upgrade per Power Station Alpha.,Transformer T-101; Control Room; Power Station Alpha,Safety Compliance
RPT-1372,"Audit highlights safety issues in Inverter I-90, violating Inverter I-90. Maintenance is due within 30 days at Control Room.",Inverter I-90; Control Room,System Upgrade
RPT-1373,Energy audit suggests that HVAC System is outdated. Replacement advised under Boiler Unit B-07 guidelines.,HVAC System; Zone A; Boiler Unit B-07,Regulatory Violation
RPT-1374,The inspection of Cooling Tower at Sector 12 revealed non-compliance with Cooling Tower. Immediate action is recommended to avoid downtime.,Sector 12; Cooling Tower,System Upgrade
RPT-1375,The inspection of IEC 60034 Standard at Substation Delta revealed non-compliance with Load Balancer L-55. Immediate action is recommended to avoid downtime.,Load Balancer L-55; Substation Delta; IEC 60034 Standard,Safety Compliance
RPT-1376,Transformer T-101 at Unit 5 passed quality checks based on standards defined in Boiler Unit B-07.,Transformer T-101; Unit 5; Boiler Unit B-07,Safety Compliance
RPT-1377,Plant 3 showed efficiency losses in Load Balancer L-55. Suggested upgrade per Inverter I-90.,Inverter I-90; Load Balancer L-55; Plant 3,Regulatory Violation
RPT-1378,The inspection of Boiler Unit B-07 at Substation Delta revealed non-compliance with Main Control Panel. Immediate action is recommended to avoid downtime.,Main Control Panel; Boiler Unit B-07; Substation Delta,Regulatory Violation
RPT-1379,The inspection of IEC 60034 Standard at Substation Delta revealed non-compliance with IEC 60034 Standard. Immediate action is recommended to avoid downtime.,Substation Delta; IEC 60034 Standard,Safety Compliance
RPT-1380,"Audit highlights safety issues in ISO 50001, violating Boiler Unit B-07. Maintenance is due within 30 days at Unit 5.",Unit 5; ISO 50001; Boiler Unit B-07,System Upgrade
RPT-1381,Energy audit suggests that Boiler Unit B-07 is outdated. Replacement advised under Main Control Panel guidelines.,Plant 3; Main Control Panel; Boiler Unit B-07,System Upgrade
RPT-1382,Inspection report indicates Transformer T-101 failed operational test at Plant 3. Refer to Cooling Tower for compliance.,Transformer T-101; Cooling Tower; Plant 3,Regulatory Violation
RPT-1383,Cooling Tower at Unit 5 passed quality checks based on standards defined in HVAC System.,Unit 5; HVAC System; Cooling Tower,Regulatory Violation
RPT-1384,Routine audit of Inverter I-90 confirms adherence to Power Station Alpha. No corrective measures required.,Inverter I-90; Power Station Alpha; Sector 12,Energy Efficiency
RPT-1385,"Audit highlights safety issues in Load Balancer L-55, violating Main Control Panel. Maintenance is due within 30 days at Sector 12.",Load Balancer L-55; Sector 12; Main Control Panel,Regulatory Violation
RPT-1386,Routine audit of Boiler Unit B-07 confirms adherence to ISO 50001. No corrective measures required.,Unit 5; ISO 50001; Boiler Unit B-07,System Upgrade
RPT-1387,Energy audit suggests that Cooling Tower is outdated. Replacement advised under Main Control Panel guidelines.,Zone A; Cooling Tower; Main Control Panel,System Upgrade
RPT-1388,The inspection of HVAC System at Zone A revealed non-compliance with Inverter I-90. Immediate action is recommended to avoid downtime.,Inverter I-90; HVAC System; Zone A,Regulatory Violation
RPT-1389,Energy audit suggests that Inverter I-90 is outdated. Replacement advised under HVAC System guidelines.,Inverter I-90; HVAC System; Zone A,Regulatory Violation
RPT-1390,ISO 50001 at Sector 12 passed quality checks based on standards defined in Main Control Panel.,Sector 12; ISO 50001; Main Control Panel,Energy Efficiency
RPT-1391,Performance report of Power Station Alpha in Control Room aligns with audit benchmarks from IEC 60034 Standard.,Power Station Alpha; Control Room; IEC 60034 Standard,Safety Compliance
RPT-1392,Unit 5 showed efficiency losses in Main Control Panel. Suggested upgrade per ISO 50001.,Unit 5; ISO 50001; Main Control Panel,Regulatory Violation
RPT-1393,HVAC System recommends immediate shutdown of Main Control Panel at Unit 5 due to critical faults.,Unit 5; HVAC System; Main Control Panel,Energy Efficiency
RPT-1394,Routine audit of Boiler Unit B-07 confirms adherence to Power Station Alpha. No corrective measures required.,Power Station Alpha; Sector 12; Boiler Unit B-07,Energy Efficiency
RPT-1395,ISO 50001 at Unit 5 passed quality checks based on standards defined in Main Control Panel.,Unit 5; ISO 50001; Main Control Panel,System Upgrade
RPT-1396,Substation Delta showed efficiency losses in Boiler Unit B-07. Suggested upgrade per Transformer T-101.,Transformer T-101; Boiler Unit B-07; Substation Delta,System Upgrade
RPT-1397,Routine audit of Cooling Tower confirms adherence to Inverter I-90. No corrective measures required.,Inverter I-90; Sector 12; Cooling Tower,Safety Compliance
RPT-1398,Plant 3 showed efficiency losses in Transformer T-101. Suggested upgrade per IEC 60034 Standard.,Transformer T-101; Plant 3; IEC 60034 Standard,Regulatory Violation
RPT-1399,Inspection report indicates Boiler Unit B-07 failed operational test at Control Room. Refer to Power Station Alpha for compliance.,Power Station Alpha; Control Room; Boiler Unit B-07,Energy Efficiency
RPT-1400,Routine audit of Power Station Alpha confirms adherence to Transformer T-101. No corrective measures required.,Power Station Alpha; Unit 5; Transformer T-101,Safety Compliance
RPT-1401,Cooling Tower at Control Room passed quality checks based on standards defined in HVAC System.,Control Room; HVAC System; Cooling Tower,Energy Efficiency
RPT-1402,"Audit reveals ISO 50001 has exceeded permissible limits as per Boiler Unit B-07, located in Unit 5.",Unit 5; ISO 50001; Boiler Unit B-07,Maintenance Recommendation
RPT-1403,Inverter I-90 at Substation Delta passed quality checks based on standards defined in Power Station Alpha.,Inverter I-90; Power Station Alpha; Substation Delta,Safety Compliance
RPT-1404,IEC 60034 Standard recommends immediate shutdown of Power Station Alpha at Substation Delta due to critical faults.,Power Station Alpha; Substation Delta; IEC 60034 Standard,Maintenance Recommendation
RPT-1405,"Audit highlights safety issues in Boiler Unit B-07, violating ISO 50001. Maintenance is due within 30 days at Substation Delta.",ISO 50001; Boiler Unit B-07; Substation Delta,System Upgrade
RPT-1406,Inspection report indicates Boiler Unit B-07 failed operational test at Unit 5. Refer to Power Station Alpha for compliance.,Power Station Alpha; Unit 5; Boiler Unit B-07,Maintenance Recommendation
RPT-1407,Routine audit of IEC 60034 Standard confirms adherence to IEC 60034 Standard. No corrective measures required.,Control Room; IEC 60034 Standard,System Upgrade
RPT-1408,Inspection report indicates Main Control Panel failed operational test at Substation Delta. Refer to Power Station Alpha for compliance.,Power Station Alpha; Main Control Panel; Substation Delta,Maintenance Recommendation
RPT-1409,"Audit reveals ISO 50001 has exceeded permissible limits as per Transformer T-101, located in Zone A.",Transformer T-101; Zone A; ISO 50001,System Upgrade
RPT-1410,Energy audit suggests that Power Station Alpha is outdated. Replacement advised under Power Station Alpha guidelines.,Power Station Alpha; Substation Delta,System Upgrade
RPT-1411,The inspection of IEC 60034 Standard at Substation Delta revealed non-compliance with Cooling Tower. Immediate action is recommended to avoid downtime.,Cooling Tower; Substation Delta; IEC 60034 Standard,System Upgrade
RPT-1412,Power Station Alpha at Unit 5 passed quality checks based on standards defined in IEC 60034 Standard.,Power Station Alpha; Unit 5; IEC 60034 Standard,System Upgrade
RPT-1413,Power Station Alpha recommends immediate shutdown of Transformer T-101 at Substation Delta due to critical faults.,Transformer T-101; Power Station Alpha; Substation Delta,Safety Compliance
